player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jacoby Windmon,101226,LB,CAR,1,100.0,0,5,60.0,60.9,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Carson Wentz,10636,QB,KC,1,100.0,0,16,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Anthony Nelson,48405,ED,TB,1,100.0,0,30,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Alex Ward,55396,LS,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Trevor Nowaske,169859,ED,DET,1,100.0,0,11,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Terrell Jennings,102408,HB,NE,1,7.1,0,19,55.8,75.0,,0,0,1,11.1,11.1,100.0,0,0,0,1,0,0,0,14,1,9,0,0,0,0
Blake Freeland,102844,T,IND,1,100.0,0,14,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,1,1,0,0,0,0,1,0
Cole Christiansen,43856,LB,KC,1,100.0,0,16,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Jarrett Kingston,81933,G,CAR,1,100.0,0,5,60.0,73.0,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
Dante Miller,109158,HB,NYG,1,100.0,0,21,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Nick Mullens,12282,QB,MIN,2,33.3,0,18,77.2,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,3,0,1,0,0,1,0
Ethan Evans,112090,P,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Cam Jones,81244,LB,KC,1,100.0,0,16,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Cody Thompson,48152,WR,TB,1,33.3,0,30,57.1,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,3,0,2,0,0,1,0
Nick Hampton,81162,ED,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Jordan McFadden,77578,G,LAC,1,100.0,0,27,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,1
Kyle Allen,26152,QB,PIT,1,50.0,0,25,73.2,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,2,0,1,0,0,1,0
Antonio Grier,77185,LB,TB,1,100.0,0,30,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Chamarri Conner,76662,S,KC,1,100.0,0,16,60.0,,60.0,0,0,0,,,,1,0,0,1,0,0,0,1,0,0,0,0,1,0
Zach Sieler,66917,DI,MIA,1,100.0,0,17,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
MarShawn Lloyd,124247,HB,GB,1,10.0,0,12,53.3,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,10,0,3,0,0,1,0
Khalil Dorsey,27819,CB,DET,2,50.0,0,11,58.4,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,2,0,1,0,0,1,0
Odell Beckham Jr.,8647,WR,MIA,3,3.0,0,17,41.8,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,33,0,32,0,0,1,0
James Winchester,8580,LS,KC,1,100.0,0,16,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Kadeem Telfort,59680,T,GB,1,100.0,0,12,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,1,1,0
Jack Cochrane,63345,LB,KC,1,100.0,0,16,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Brenden Rice,131692,WR,LAC,1,33.3,0,27,56.2,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,3,0,2,0,0,1,0
Ihmir Smith-Marsette,61324,WR,NYG,1,100.0,0,21,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Nick Zakelj,59693,C,SF,1,100.0,0,28,60.0,,60.0,0,0,0,,,,0,0,0,1,1,0,0,1,0,0,0,0,1,0
Jason Sanders,29578,K,MIA,1,100.0,0,17,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Will Shipley,144138,HB,PHI,4,6.3,0,24,51.5,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,16,0,5,0,0,1,0
Jack Fox,34735,P,DET,2,50.0,0,11,72.6,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,2,0,1,0,0,1,0
Jake Hummel,57879,LB,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Blake Ferguson,35517,LS,MIA,1,100.0,0,17,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
J.J. Russell,57958,LB,TB,1,100.0,0,30,60.0,,60.0,0,0,0,,,,1,0,0,1,0,0,0,1,0,0,0,0,1,0
Calais Campbell,4364,DI,MIA,1,100.0,0,17,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Mitchell Fraboni,38930,LS,DEN,1,100.0,0,10,60.0,62.1,,0,0,1,100.0,100.0,100.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Velus Jones Jr.,40573,HB,CHI,1,25.0,0,6,71.7,,59.8,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,4,0,1,0,0,1,0
Joshua Williams,156083,CB,KC,1,100.0,0,16,60.0,,60.0,0,0,0,,,,2,0,0,1,0,0,0,1,0,0,0,0,1,0
Nikola Kalinic,156095,TE,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Tyreik McAllister,156153,WR,LV,1,25.0,0,23,62.0,,60.0,0,0,0,0.0,0.0,,0,0,0,1,0,0,0,4,0,1,0,0,1,0
Sam Howell,97599,QB,SEA,1,100.0,0,29,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Omar Speights,97723,LB,LA,1,100.0,0,26,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0
